Param,Value,data_type,Unit
Country_name,Ghana,string,-
Country_code,GHA,string,-
Start_year,2020,int,-
End_year,2020,int,-
Population_start_year,31073000,int,People
Population_end_year,31073000,int,People
Urban_start,0.57,float,Ratio
Urban_end,0.57,float,Ratio
Elec_rate,0.85,float,Ratio
rural_elec_rate,0.75,float,Ratio
urban_elec_rate,0.93,float,Ratio
Mort_COPD,10.42,float,Deaths per 100000 people per year
Mort_IHD,50.38,float,Deaths per 100000 people per year
Mort_LC,4.47,float,Deaths per 100000 people per year
Mort_ALRI,51.71,float,Deaths per 100000 people per year
Mort_STROKE,54.5,float,Deaths per 100000 people per year
Morb_COPD,1119.55,float,Cases per 100000 people per year
Morb_IHD,977.35,float,Cases per 100000 people per year
Morb_LC,4.55,float,Cases per 100000 people per year
Morb_ALRI,7160.02,float,Cases per 100000 people per year
Morb_STROKE,1004.9,float,Cases per 100000 people per year
Rural_HH_size,8,float,People/household
Urban_HH_size,6.7,float,People/household
Meals_per_day,3,float,Meals/day/person
infra_weight,2,float,-
NTL_weight,1,float,-
pop_weight,1,float,-
fnrb,0.113,float,Ratio
COI_ALRI,39,float,USD/case
COI_COPD,103,float,USD/case
COI_IHD,45,float,USD/case
COI_LC,2431,float,USD/case
COI_STROKE,3970,float,USD/case
Cost of carbon emissions,51,float,USD/metric Ton
Discount_rate,0.03,float,Ratio
Health_spillovers_parameter,0.112,float,-
Minimum_wage,85,float,USD/Month
VSL,308100,float,USD/life
w_costs,1,float,-
w_environment,1,float,-
w_health,1,float,-
w_spillovers,1,float,-
w_time,1,float,-
