Fuel,Param,Value,data_type,Unit
Biogas,pm25,43,float,24-h µg/m3
Biogas,energy_content,22.8,float,MJ/kg
Biogas,oc_intensity,0.0091,float,kg/GJ
Biogas,time_of_cooking,2,float,h/day
Biogas,efficiency,0.4,float,Ratio
Biogas,fuel_cost,0,float,USD/kg
Biogas,name,Biogas,string,-
Biogas,n2o_intensity,0.0006,float,kg/GJ
Biogas,inv_cost,550,float,USD
Biogas,bc_intensity,0.0043,float,kg/GJ
Biogas,tech_life,20,int,years
Biogas,ch4_intensity,0.029,float,kg/GJ
Biogas,om_cost,3.7,float,USD/year
Biogas,co2_intensity,0,float,kg/GJ
Biomass Forced Draft,om_cost,3.7,float,USD/year
Biomass Forced Draft,n2o_intensity,0.0039,float,kg/GJ
Biomass Forced Draft,time_of_collection,2,float,h/trip
Biomass Forced Draft,tech_life,5,int,years
Biomass Forced Draft,pm25,325,float,24-h µg/m3
Biomass Forced Draft,name,Biomass Forced Draft,string,-
Biomass Forced Draft,oc_intensity,0.308,float,kg/GJ
Biomass Forced Draft,collected_fuel,TRUE,bool,-
Biomass Forced Draft,co2_intensity,112,float,kg/GJ
Biomass Forced Draft,inv_cost,47,float,USD
Biomass Forced Draft,draft_type,Forced,string,-
Biomass Forced Draft,energy_content,16,float,MJ/kg
Biomass Forced Draft,efficiency,0.37,float,Ratio
Biomass Forced Draft,fuel_cost,0,float,USD/kg
Biomass Forced Draft,ch4_intensity,0.864,float,kg/GJ
Biomass Forced Draft,time_of_cooking,2.85,float,h/day
Biomass Forced Draft,bc_intensity,0.1075,float,kg/GJ
Charcoal ICS,bc_intensity,0.1075,float,kg/GJ
Charcoal ICS,tech_life,4,int,years
Charcoal ICS,energy_content,30,float,MJ/kg
Charcoal ICS,n2o_intensity,0.001,float,kg/GJ
Charcoal ICS,ch4_intensity,0.576,float,kg/GJ
Charcoal ICS,name,Charcoal ICS,string,-
Charcoal ICS,oc_intensity,0.308,float,kg/GJ
Charcoal ICS,inv_cost,27.5,float,USD
Charcoal ICS,om_cost,3.7,float,USD/year
Charcoal ICS,efficiency,0.3,float,Ratio
Charcoal ICS,time_of_cooking,2.25,float,h/day
Charcoal ICS,time_of_collection,0,float,h/trip
Charcoal ICS,pm25,185,float,24-h µg/m3
Charcoal ICS,fuel_cost,0.09,float,USD/kg
Charcoal ICS,co2_intensity,121,float,kg/GJ
Collected_Improved_Biomass,bc_intensity,0.1075,float,kg/GJ
Collected_Improved_Biomass,name,Collected_Improved_Biomass,string,-
Collected_Improved_Biomass,oc_intensity,0.308,float,kg/GJ
Collected_Improved_Biomass,efficiency,0.3,float,Ratio
Collected_Improved_Biomass,time_of_cooking,2.85,float,h/day
Collected_Improved_Biomass,tech_life,3,int,years
Collected_Improved_Biomass,om_cost,3.7,float,USD/year
Collected_Improved_Biomass,n2o_intensity,0.0039,float,kg/GJ
Collected_Improved_Biomass,pm25,450,float,24-h µg/m3
Collected_Improved_Biomass,energy_content,16,float,MJ/kg
Collected_Improved_Biomass,co2_intensity,112,float,kg/GJ
Collected_Improved_Biomass,time_of_collection,2,float,h/trip
Collected_Improved_Biomass,inv_cost,32,float,USD
Collected_Improved_Biomass,ch4_intensity,0.864,float,kg/GJ
Collected_Improved_Biomass,fuel_cost,0,float,USD/kg
Collected_Traditional_Biomass,co2_intensity,112,float,kg/GJ
Collected_Traditional_Biomass,fuel_cost,0,float,USD/kg
Collected_Traditional_Biomass,time_of_collection,2,float,h/trip
Collected_Traditional_Biomass,name,Collected_Traditional_Biomass,string,-
Collected_Traditional_Biomass,efficiency,0.12,float,Ratio
Collected_Traditional_Biomass,n2o_intensity,0.0039,float,kg/GJ
Collected_Traditional_Biomass,pm25,844,float,24-h µg/m3
Collected_Traditional_Biomass,tech_life,2,int,years
Collected_Traditional_Biomass,epsilon,0.51,float,-
Collected_Traditional_Biomass,energy_content,16,float,MJ/kg
Collected_Traditional_Biomass,current_share_rural,0.67984,float,-
Collected_Traditional_Biomass,bc_intensity,0.1075,float,kg/GJ
Collected_Traditional_Biomass,inv_cost,0,float,USD
Collected_Traditional_Biomass,om_cost,0,float,USD/year
Collected_Traditional_Biomass,oc_intensity,0.308,float,kg/GJ
Collected_Traditional_Biomass,time_of_cooking,3,float,h/day
Collected_Traditional_Biomass,ch4_intensity,0.864,float,kg/GJ
Collected_Traditional_Biomass,current_share_urban,0.13769,float,-
Electricity,name,Electricity,string,-
Electricity,generation_natural_gas,33.46,float,GWh
Electricity,time_of_collection,0,float,h/trip
Electricity,efficiency,0.85,float,Ratio
Electricity,generation_Nuclear,0,float,GWh
Electricity,capacity_wind,0,float,GW
Electricity,fuel_cost,0.062,float,USD/kWh
Electricity,time_of_cooking,1.8,float,h/day
Electricity,generation_geothermal,0,float,GWh
Electricity,capacity_biofuels_and_waste,0.0064,float,GW
Electricity,om_cost,3.7,float,USD/year
Electricity,generation_biofuels_and_waste,0.09,float,GWh
Electricity,generation_solar,0.09,float,GWh
Electricity,current_share_rural,0.00243,float,-
Electricity,inv_cost,36.3,float,USD
Electricity,tech_life,10,int,years
Electricity,generation_wind,1.66,float,GWh
Electricity,generation_coal,0,float,GWh
Electricity,current_share_urban,0.014985,float,-
Electricity,capacity_Nuclear,0,float,GW
Electricity,capacity_natural_gas,2.139,float,GW
Electricity,generation_hydro,23.67,float,GWh
Electricity,capacity_hydro,1.58,float,GW
Electricity,capacity_solar,0.063,float,GW
Electricity,generation_oil,16.47,float,GWh
Electricity,capacity_oil,1.1,float,GW
Electricity,capacity_coal,0,float,GW
Electricity,capacity_geothermal,0,float,GW
Electricity,energy_content,3.6,float,MJ/kWh
Electricity,pm25,32,float,24-h µg/m3
Kerosene,name,Kerosene,string,-
Kerosene,tech_life,4,float,years
Kerosene,time_of_cooking,2,float,h/day
Kerosene,inv_cost,19.5,float,USD
Kerosene,current_share_urban,0.00113,float,-
Kerosene,bc_intensity,0.0613,float,kg/GJ
Kerosene,energy_content,43,float,MJ/kg
Kerosene,efficiency,0.35,float,Ratio
Kerosene,ch4_intensity,0.009,float,kg/GJ
Kerosene,co2_intensity,72,float,kg/GJ
Kerosene,n2o_intensity,0.0006,float,kg/GJ
Kerosene,epsilon,0.51,float,-
Kerosene,oc_intensity,0.0172,float,kg/GJ
Kerosene,pm25,55,float,24-h µg/m3
Kerosene,fuel_cost,0.62,float,USD/kg
Kerosene,current_share_rural,0.00025,float,-
LPG,fuel_cost,0.73,float,USD/kg
LPG,time_of_collection,0,float,h/trip
LPG,om_cost,3.7,float,USD/year
LPG,current_share_rural,0.110925,float,-
LPG,time_of_cooking,2,float,h/day
LPG,inv_cost,44,float,USD
LPG,oc_intensity,0.0091,float,kg/GJ
LPG,co2_intensity,63,float,kg/GJ
LPG,bc_intensity,0.0044,float,kg/GJ
LPG,current_share_urban,0.444765,float,-
LPG,ch4_intensity,0.003,float,kg/GJ
LPG,name,LPG,string,-
LPG,tech_life,7,int,years
LPG,diesel_cost,1.04,float,USD/l
LPG,pm25,43,float,24-h µg/m3
LPG,energy_content,45.5,float,MJ/kg
LPG,efficiency,0.5,float,Ratio
LPG,n2o_intensity,0.0001,float,kg/GJ
Pellets Forced Draft,fuel_cost,0.25,float,USD/kg
Pellets Forced Draft,efficiency,0.39,float,Ratio
Pellets Forced Draft,tech_life,6,int,years
Pellets Forced Draft,n2o_intensity,0.0039,float,kg/GJ
Pellets Forced Draft,om_cost,3.7,float,USD/year
Pellets Forced Draft,oc_intensity,0.308,float,kg/GJ
Pellets Forced Draft,time_of_cooking,2.25,float,h/day
Pellets Forced Draft,time_of_collection,0,float,h/trip
Pellets Forced Draft,bc_intensity,0.1075,float,kg/GJ
Pellets Forced Draft,inv_cost,54,float,USD
Pellets Forced Draft,name,Pellets Forced Draft,string,-
Pellets Forced Draft,pm25,207,float,24-h µg/m3
Pellets Forced Draft,energy_content,16,float,MJ/kg
Pellets Forced Draft,draft_type,Forced,string,-
Pellets Forced Draft,collected_fuel,FALSE,bool,-
Pellets Forced Draft,ch4_intensity,0.864,float,kg/GJ
Pellets Forced Draft,co2_intensity,112,float,kg/GJ
Traditional_Charcoal,bc_intensity,0.1075,float,kg/GJ
Traditional_Charcoal,current_share_rural,0.188465,float,-
Traditional_Charcoal,pm25,256,float,24-h µg/m3
Traditional_Charcoal,epsilon,0.71,float,-
Traditional_Charcoal,n2o_intensity,0.001,float,kg/GJ
Traditional_Charcoal,current_share_urban,0.383005,float,-
Traditional_Charcoal,co2_intensity,121,float,kg/GJ
Traditional_Charcoal,name,Traditional_Charcoal,string,-
Traditional_Charcoal,oc_intensity,0.308,float,kg/GJ
Traditional_Charcoal,time_of_cooking,2.6,float,h/day
Traditional_Charcoal,fuel_cost,0.09,float,USD/kg
Traditional_Charcoal,time_of_collection,0,float,h/trip
Traditional_Charcoal,tech_life,2,int,years
Traditional_Charcoal,efficiency,0.2,float,Ratio
Traditional_Charcoal,energy_content,30,float,MJ/kg
Traditional_Charcoal,inv_cost,4,float,USD
Traditional_Charcoal,om_cost,0,float,USD/year
Traditional_Charcoal,ch4_intensity,0.576,float,kg/GJ
