Param,Value,data_type
Country_name,Kenya,string
Country_code,KEN,string
Start_year,2020,int
End_year,2020,int
Population_start_year,53771000,int
Population_end_year,53771000,int
Urban_start,0.28,float
Urban_end,0.28,float
Elec_rate,0.85,float
rural_elec_rate,0.79,float
urban_elec_rate,0.99,float
Mort_COPD,10.12,float
Mort_IHD,27.31,float
Mort_LC,2.55,float
Mort_ALRI,42.81,float
Morb_COPD,972.75,float
Morb_IHD,933.38,float
Morb_LC,2.4,float
Morb_ALRI,6062.08,float
Rural_HHsize,5.8,float
Urban_HHsize,4.8,float
Meals_per_day,3,float
infra_weight,2,float
NTL_weight,1,float
pop_weight,1,float
Mort_STROKE,35.7,float
Morb_STROKE,775.6,float
fnrb,0.611,float
COI_ALRI,39.0,float
COI_COPD,103.0,float
COI_IHD,45.0,float
COI_LC,2431.0,float
COI_STROKE,3970.0,float
Cost of carbon emissions,51.0,float
Discount_rate,0.03,float
Health_spillovers_parameter,0.112,float
Minimum_wage,194.0,float
VSL,203671.0,float
w_costs,1.0,float
w_environment,1.0,float
w_health,1.0,float
w_spillovers,1.0,float
w_time,1.0,float
